name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,2017-08-15,0.19,1,189
Secluded Master Bedroom in Beautiful Huge Apt,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,2017-08-17,0.33,1,307
B & B Room 1,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,2019-05-14,0.58,2,310
ACCOMMODATIONS GALORE #1,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,2019-06-20,1.42,3,213
Sunny Room in New Condo,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,2019-07-03,2.35,1,278
Stylish & Sleek Apartment Near SoHo!,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,2019-06-25,0.66,1,209
NYC artists’ loft with roof deck,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,2019-05-20,1.86,1,0
Unique & Charming small 1br Apt. LES,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,2019-06-14,0.29,1,16
Most Central Location!,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,2019-05-26,0.45,3,234
Luminous Beautiful West Village Studio,Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,2019-07-01,0.25,1,12
Sanctuary in East Flatbush,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,2019-01-01,0.02,1,178
Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,2019-06-24,3.89,3,275
FLAT MACDONOUGH,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,2019-06-23,2.09,2,163
Huge Private  Floor at The Waverly,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,2019-07-01,0.77,3,365
"Modern Greenpoint, Brooklyn Apt",Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,2017-07-30,0.03,1,34
"Sun-drenched, artsy modernist 1 BDRM duplex",Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,2018-06-11,0.10,1,280
"Sunny, Cobble Hill Apartment",Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,2016-04-24,0.04,1,0
Fully Furnished Basement Apartment,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,2011-09-19,0.01,1,1
FLAT MACDONOUGH GARDEN,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,2019-06-20,1.72,2,170
Light filled Williamsburg Apartment,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,2019-07-02,0.11,1,188
Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,2019-06-17,2.19,1,214
NYC Zen,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,2019-06-17,0.28,1,248
Cozy BR in Wiliamsburg 3 Bedroom,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,2019-06-22,1.86,4,262
Sunny Room in Old Historical Brooklyn Townhouse,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,2019-06-29,1.05,5,280
Sun Filled Classic West Village Apt,Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,2019-06-22,0.74,1,307
Lg Rm in Historic Prospect Heights,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,2013-05-10,0.09,1,339
Classic Artist Loft Williamsburg,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,2019-06-13,1.61,1,1
Great location. Spacious on PROSPECT PARK,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,2018-08-27,0.05,1,269
Private Bdrm/Bathrm. New! Elevator!,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,2017-05-29,0.32,1,10
"Sunny, clean 1 bdrm in W. Village",Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,2019-03-31,1.24,1,312
Great location in Williamsburg,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,2018-12-27,0.25,1,189
Light and Airy Upper East Side 1 BDR apartment,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,2019-06-26,1.16,2,290
Luxury Brownstone in Boerum Hill,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,2018-12-31,0.27,1,230
CENTRAL PARK LOFT all for YOU,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,2019-06-08,2.60,2,164
Indie-Chic Share In Williamsburg,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,2019-05-28,1.86,2,53
"A room w/ a Manhattan view, longer stay",Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,2019-04-12,0.26,1,126
"Private, Large & Sunny 1BR w/W&D",Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,2019-06-22,2.86,2,3
Luxurious Condo in DUBMO with View,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,2011-04-25,0.13,1,189
Charming & Cozy midtown loft any WEEK ENDS  !!!,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,2016-09-23,0.08,1,365
* Spacious GARDEN Park Slope Duplex* 6 people max,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2019-07-06,2.17,1,0
Convenient cozy cheap apt Manhattan,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,2015-11-02,0.04,1,0
Parlor Room In Victorian Townhouse,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,2019-06-24,3.47,3,336
House On Henry (2nd FLR Suite),Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,2019-06-18,1.40,3,342
New York room with a view,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,2019-06-13,1.66,1,312
Sunny cozy room in Brklyn townhouse,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,2019-06-19,0.94,1,37
Room with a View,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2019-07-04,2.04,3,353
Light+Open+Airy+Rustic+Modern Loft,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,2016-07-06,1.78,1,177
West Inn 2 - East Village,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,2019-06-23,0.78,4,310
Financial District Luxury Loft,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,2019-06-20,1.06,1,0
BROOKLYN VICTORIAN STYLE SUITE.....,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2019-06-24,2.00,2,321
Your own Lovely West Village Studio,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,2019-06-01,0.80,1,246
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,2019-05-26,0.75,3,231
